week	st	1st	2nd	3rd
1950	PEJO	AZUL	SRLP	VBCA
1951	PEJO	AZUL	SRLP	VBCA
1952	PEJO	AZUL	SRLP	VBCA
1953	PEJO	AZUL	SRLP	VBCA
1954	PEJO	AZUL	SRLP	VBCA
1955	PEJO	AZUL	SRLP	VBCA
1956	PEJO	AZUL	SRLP	VBCA
1957	PEJO	AZUL	SRLP	VBCA
1958	PEJO	AZUL	SRLP	VBCA
1959	PEJO	AZUL	SRLP	VBCA
1960	PEJO	AZUL	SRLP	VBCA
1961	PEJO	AZUL	SRLP	VBCA
1962	PEJO	AZUL	SRLP	VBCA
1963	PEJO	AZUL	SRLP	VBCA
1964	PEJO	AZUL	SRLP	VBCA
1965	PEJO	AZUL	SRLP	VBCA
1966	PEJO	AZUL	SRLP	VBCA
1967	PEJO	AZUL	SRLP	VBCA
1972	PEJO	SRLP	VBCA	UNRO
1763	PRCV	SVIC	EBYP	RSAL
1764	PRCV	SVIC	EBYP	RSAL
1765	PRCV	SVIC	EBYP	RSAL
1766	PRCV	SVIC	EBYP	RSAL
1767	PRCV	SVIC	EBYP	RSAL
1769	PRCV	SVIC	EBYP	RSAL
1770	PRCV	SVIC	EBYP	RSAL
1771	PRCV	SVIC	EBYP	RSAL
1772	PRCV	SVIC	EBYP	RSAL
1773	PRCV	SVIC	EBYP	RSAL
1774	PRCV	SVIC	EBYP	RSAL
1775	PRCV	SVIC	EBYP	RSAL
1776	PRCV	SVIC	EBYP	RSAL
1778	PRCV	SVIC	EBYP	RSAL
1779	PRCV	SVIC	EBYP	RSAL
1780	PRCV	SVIC	EBYP	RSAL
1781	PRCV	SVIC	EBYP	RSAL
1782	PRCV	SVIC	EBYP	RSAL
1783	PRCV	SVIC	EBYP	RSAL
1784	PRCV	SVIC	EBYP	RSAL
1785	PRCV	SVIC	EBYP	RSAL
1786	PRCV	SVIC	EBYP	RSAL
1787	PRCV	SVIC	EBYP	RSAL
1788	PRCV	SVIC	EBYP	RSAL
1789	PRCV	SVIC	EBYP	RSAL
1790	PRCV	SVIC	EBYP	RSAL
1791	PRCV	SVIC	EBYP	RSAL
1792	PRCV	SVIC	EBYP	RSAL
1793	PRCV	SVIC	EBYP	RSAL
1794	PRCV	SVIC	EBYP	RSAL
1795	PRCV	SVIC	EBYP	RSAL
1796	PRCV	SVIC	EBYP	RSAL
1797	PRCV	SVIC	EBYP	RSAL
1798	PRCV	SVIC	EBYP	RSAL
1799	PRCV	SVIC	EBYP	RSAL
1800	PRCV	SVIC	EBYP	RSAL
1801	PRCV	SVIC	EBYP	RSAL
1802	PRCV	SVIC	EBYP	RSAL
1803	PRCV	SVIC	EBYP	RSAL
1804	PRCV	SVIC	EBYP	RSAL
1805	PRCV	SVIC	EBYP	RSAL
1806	PRCV	SVIC	EBYP	RSAL
1807	PRCV	SVIC	EBYP	RSAL
1808	PRCV	SVIC	EBYP	RSAL
1809	PRCV	SVIC	EBYP	RSAL
1810	PRCV	SVIC	EBYP	RSAL
1811	PRCV	SVIC	EBYP	RSAL
1812	PRCV	SVIC	EBYP	RSAL
1813	PRCV	SVIC	EBYP	RSAL
1814	PRCV	SVIC	EBYP	RSAL
1815	PRCV	SVIC	EBYP	RSAL
1816	PRCV	SVIC	EBYP	RSAL
1817	PRCV	SVIC	EBYP	RSAL
1818	PRCV	SVIC	EBYP	RSAL
1819	PRCV	SVIC	EBYP	RSAL
1820	PRCV	SVIC	EBYP	RSAL
1821	PRCV	SVIC	EBYP	RSAL
1822	PRCV	SVIC	EBYP	RSAL
1823	PRCV	SVIC	EBYP	RSAL
1824	PRCV	SVIC	EBYP	RSCL
1825	PRCV	EBYP	RSCL	RSAL
1826	PRCV	EBYP	RSCL	RSAL
1827	PRCV	SVIC	EBYP	RSCL
1828	PRCV	SVIC	EBYP	RSCL
1830	PRCV	SVIC	EBYP	RSCL
1831	PRCV	SVIC	EBYP	RSCL
1832	PRCV	SVIC	EBYP	RSCL
1833	PRCV	SVIC	EBYP	RSCL
1834	PRCV	SVIC	EBYP	RSCL
1835	PRCV	SVIC	EBYP	RSCL
1836	PRCV	SVIC	EBYP	RSCL
1837	PRCV	SVIC	EBYP	RSCL
1838	PRCV	SVIC	EBYP	RSCL
1839	PRCV	SVIC	EBYP	RSCL
1840	PRCV	SVIC	EBYP	RSCL
1841	PRCV	SVIC	EBYP	RSCL
1842	PRCV	SVIC	EBYP	RSCL
1843	PRCV	SVIC	EBYP	RSCL
1844	PRCV	SVIC	EBYP	RSCL
1845	PRCV	SVIC	EBYP	RSCL
1846	PRCV	SVIC	EBYP	RSCL
1847	PRCV	SVIC	EBYP	RSCL
1848	PRCV	SVIC	EBYP	RSCL
1849	PRCV	SVIC	EBYP	RSCL
1850	PRCV	SVIC	EBYP	RSCL
1851	PRCV	SVIC	EBYP	RSCL
1852	PRCV	SVIC	EBYP	RSCL
1853	PRCV	SVIC	EBYP	RSCL
1854	PRCV	SVIC	EBYP	RSCL
1855	PRCV	SVIC	EBYP	RSCL
1856	PRCV	SVIC	EBYP	RSCL
1858	PRCV	SVIC	EBYP	RSCL
1859	PRCV	SVIC	EBYP	RSCL
1860	PRCV	SVIC	EBYP	RSCL
1861	PRCV	SVIC	EBYP	RSCL
1862	PRCV	SVIC	EBYP	RSCL
1863	PRCV	SVIC	EBYP	RSCL
1864	PRCV	SVIC	EBYP	RSCL
1865	PRCV	SVIC	EBYP	RSCL
1866	PRCV	SVIC	EBYP	RSCL
1867	PRCV	SVIC	EBYP	RSCL
1868	PRCV	SVIC	EBYP	RSCL
1869	PRCV	SVIC	EBYP	RSCL
1870	PRCV	SVIC	EBYP	RSCL
1871	PRCV	SVIC	EBYP	RSCL
1872	PRCV	SVIC	EBYP	RSCL
1873	PRCV	SVIC	EBYP	RSCL
1874	PRCV	SVIC	EBYP	RSCL
1875	PRCV	SVIC	EBYP	RSCL
1876	PRCV	SVIC	EBYP	RSCL
1877	PRCV	EBYP	RSCL	RSAL
1878	PRCV	SVIC	EBYP	RSCL
1880	PRCV	SVIC	EBYP	RSCL
1882	PRCV	SVIC	EBYP	RSCL
1883	PRCV	SVIC	EBYP	RSCL
1884	PRCV	SVIC	EBYP	RSCL
1885	PRCV	SVIC	EBYP	RSCL
1886	PRCV	SVIC	EBYP	RSCL
1887	PRCV	SVIC	EBYP	RSCL
1888	PRCV	SVIC	EBYP	RSCL
1890	PRCV	SVIC	EBYP	RSCL
1891	PRCV	SVIC	EBYP	RSCL
1892	PRCV	SVIC	EBYP	RSCL
1893	PRCV	SVIC	EBYP	RSCL
1894	PRCV	SVIC	EBYP	RSCL
1895	PRCV	SVIC	EBYP	RSCL
1896	PRCV	SVIC	RSCL	RSAL
1897	PRCV	SVIC	RSCL	RSAL
1898	PRCV	SVIC	RSCL	RSAL
1899	PRCV	SVIC	EBYP	RSCL
1900	PRCV	SVIC	EBYP	RSCL
1901	PRCV	SVIC	RSCL	RSAL
1902	PRCV	SVIC	EBYP	RSCL
1903	PRCV	SVIC	EBYP	RSCL
1904	PRCV	SVIC	EBYP	RSCL
1905	PRCV	SVIC	EBYP	RSCL
1906	PRCV	SVIC	EBYP	RSCL
1907	PRCV	SVIC	EBYP	RSCL
1908	PRCV	SVIC	EBYP	RSCL
1909	PRCV	SVIC	EBYP	RSCL
1910	PRCV	SVIC	EBYP	RSCL
1911	PRCV	SVIC	EBYP	RSCL
1912	PRCV	SVIC	EBYP	RSCL
1913	PRCV	SVIC	EBYP	RSCL
1914	PRCV	SVIC	EBYP	RSCL
1915	PRCV	SVIC	EBYP	RSCL
1916	PRCV	SVIC	EBYP	RSCL
1917	PRCV	SVIC	EBYP	RSCL
1918	PRCV	SVIC	EBYP	RSCL
1919	PRCV	SVIC	EBYP	RSCL
1920	PRCV	SVIC	EBYP	RSCL
1921	PRCV	SVIC	EBYP	RSCL
1922	PRCV	SVIC	EBYP	RSCL
1923	PRCV	SVIC	EBYP	RSCL
1924	PRCV	SVIC	EBYP	RSCL
1925	PRCV	SVIC	EBYP	RSCL
1926	PRCV	SVIC	EBYP	RSCL
1927	PRCV	SVIC	EBYP	RSCL
1928	PRCV	SVIC	EBYP	RSCL
1929	PRCV	SVIC	RSCL	RSAL
1930	PRCV	SVIC	RSCL	RSAL
1931	PRCV	SVIC	RSCL	RSAL
1932	PRCV	SVIC	RSCL	RSAL
1933	PRCV	SVIC	RSCL	RSAL
1934	PRCV	SVIC	RSCL	RSAL
1935	PRCV	SVIC	RSCL	RSAL
1936	PRCV	SVIC	RSCL	RSAL
1937	PRCV	SVIC	RSCL	RSAL
1938	PRCV	SVIC	RSCL	RSAL
1939	PRCV	SVIC	RSCL	RSAL
1940	PRCV	SVIC	RSCL	RSAL
1941	PRCV	SVIC	RSCL	RSAL
1942	PRCV	SVIC	RSCL	RSAL
1943	PRCV	SVIC	RSCL	RSAL
1944	PRCV	SVIC	RSCL	RSAL
1945	PRCV	SVIC	RSCL	RSAL
1946	PRCV	SVIC	RSCL	RSAL
1947	PRCV	SVIC	RSCL	RSAL
1948	PRCV	SVIC	RSCL	RSAL
1949	PRCV	SVIC	EBYP	RSCL
1950	PRCV	SVIC	EBYP	RSCL
1951	PRCV	SVIC	EBYP	RSCL
1952	PRCV	SVIC	EBYP	RSCL
1953	PRCV	SVIC	EBYP	RSCL
1954	PRCV	SVIC	EBYP	RSCL
1955	PRCV	SVIC	EBYP	RSCL
1956	PRCV	SVIC	EBYP	RSCL
1957	PRCV	SVIC	EBYP	RSCL
1958	PRCV	SVIC	EBYP	RSCL
1959	PRCV	SVIC	EBYP	RSCL
1960	PRCV	SVIC	EBYP	RSCL
1961	PRCV	SVIC	EBYP	RSCL
1962	PRCV	SVIC	EBYP	RSCL
1963	PRCV	SVIC	EBYP	RSCL
1964	PRCV	SVIC	EBYP	RSCL
1965	PRCV	SVIC	EBYP	RSCL
1966	PRCV	SVIC	EBYP	RSCL
1967	PRCV	SVIC	EBYP	RSCL
1968	PRCV	SVIC	EBYP	RSCL
1969	PRCV	SVIC	EBYP	RSCL
1970	PRCV	SVIC	EBYP	RSCL
1971	PRCV	SVIC	EBYP	RSCL
1972	PRCV	SVIC	EBYP	RSCL
1677	PRNA	UNRO	GUAY	UYPA
1678	PRNA	UNRO	GUAY	UYPA
1679	PRNA	UNRO	GUAY	UYPA
1680	PRNA	UNRO	GUAY	UYPA
1681	PRNA	UNRO	GUAY	UYPA
1682	PRNA	UNRO	GUAY	UYPA
1683	PRNA	UNRO	GUAY	UYPA
1684	PRNA	UNRO	GUAY	UYPA
1685	PRNA	UNRO	GUAY	UYPA
1686	PRNA	UNRO	GUAY	UYPA
1688	PRNA	UNRO	GUAY	UYPA
1689	PRNA	UNRO	GUAY	UYPA
1690	PRNA	UNRO	GUAY	UYPA
1691	PRNA	UNRO	GUAY	UYPA
1692	PRNA	UNRO	GUAY	UYPA
1693	PRNA	UNRO	GUAY	UYPA
1694	PRNA	UNRO	GUAY	UYPA
1695	PRNA	UNRO	GUAY	UYSO
1696	PRNA	UNRO	GUAY	UYSO
1697	PRNA	UNRO	GUAY	UYSO
1698	PRNA	UNRO	GUAY	UYPA
1699	PRNA	UNRO	GUAY	UYPA
1700	PRNA	UNRO	GUAY	UYPA
1701	PRNA	UNRO	GUAY	UYPA
1702	PRNA	UNRO	GUAY	UYPA
1703	PRNA	UNRO	GUAY	UYPA
1704	PRNA	UNRO	GUAY	UYPA
1705	PRNA	UNRO	GUAY	UYPA
1706	PRNA	UNRO	GUAY	UYPA
1707	PRNA	UNRO	GUAY	UYPA
1708	PRNA	UNRO	GUAY	UYPA
1709	PRNA	UNRO	GUAY	UYPA
1710	PRNA	UNRO	GUAY	UYPA
1711	PRNA	UNRO	GUAY	UYPA
1712	PRNA	UNRO	GUAY	UYPA
1713	PRNA	UNRO	GUAY	UYPA
1714	PRNA	UNRO	GUAY	UYPA
1715	PRNA	UNRO	GUAY	UYPA
1716	PRNA	UNRO	GUAY	UYPA
1717	PRNA	UNRO	GUAY	UYPA
1718	PRNA	UNRO	GUAY	UYPA
1719	PRNA	UNRO	GUAY	UYPA
1720	PRNA	UNRO	GUAY	UYPA
1721	PRNA	UNRO	GUAY	UYPA
1722	PRNA	UNRO	GUAY	UYPA
1723	PRNA	UNRO	GUAY	UYPA
1724	PRNA	UNRO	GUAY	UYPA
1727	PRNA	UNRO	GUAY	UYPA
1728	PRNA	UNRO	GUAY	UYPA
1729	PRNA	UNRO	GUAY	UYPA
1730	PRNA	UNRO	GUAY	UYPA
1731	PRNA	UNRO	GUAY	UYPA
1732	PRNA	UNRO	GUAY	UYPA
1733	PRNA	UNRO	GUAY	UYPA
1734	PRNA	UNRO	GUAY	UYPA
1735	PRNA	UNRO	GUAY	UYPA
1736	PRNA	GUAY	UYPA	UYSO
1737	PRNA	UNRO	GUAY	UYPA
1738	PRNA	UNRO	GUAY	UYPA
1739	PRNA	UNRO	GUAY	UYPA
1740	PRNA	UNRO	GUAY	UYPA
1741	PRNA	UNRO	GUAY	UYPA
1742	PRNA	UNRO	GUAY	UYPA
1743	PRNA	UNRO	GUAY	UYPA
1744	PRNA	UNRO	GUAY	UYPA
1745	PRNA	UNRO	GUAY	UYPA
1746	PRNA	UNRO	GUAY	UYPA
1747	PRNA	UNRO	GUAY	UYPA
1748	PRNA	UNRO	GUAY	UYPA
1749	PRNA	UNRO	GUAY	UYPA
1750	PRNA	UNRO	GUAY	UYPA
1751	PRNA	UNRO	GUAY	UYPA
1752	PRNA	UNRO	GUAY	UYPA
1753	PRNA	UNRO	GUAY	UYPA
1754	PRNA	UNRO	GUAY	UYPA
1755	PRNA	UNRO	GUAY	UYPA
1756	PRNA	UNRO	GUAY	UYPA
1757	PRNA	UNRO	GUAY	UYPA
1758	PRNA	UNRO	GUAY	UYPA
1759	PRNA	UNRO	GUAY	UYPA
1760	PRNA	UNRO	GUAY	UYPA
1764	PRNA	UNRO	GUAY	UYPA
1765	PRNA	UNRO	GUAY	UYPA
1766	PRNA	UNRO	GUAY	UYPA
1767	PRNA	UNRO	GUAY	UYPA
1769	PRNA	UNRO	GUAY	UYPA
1770	PRNA	UNRO	GUAY	UYPA
1771	PRNA	UNRO	GUAY	UYPA
1772	PRNA	UNRO	GUAY	UYPA
1773	PRNA	UNRO	GUAY	UYPA
1774	PRNA	UNRO	GUAY	UYPA
1775	PRNA	UNRO	GUAY	UYPA
1776	PRNA	UNRO	GUAY	UYPA
1777	PRNA	UNRO	GUAY	UYPA
1778	PRNA	UNRO	GUAY	UYPA
1779	PRNA	UNRO	GUAY	UYPA
1780	PRNA	UNRO	GUAY	UYPA
1781	PRNA	UNRO	GUAY	UYPA
1782	PRNA	UNRO	UYPA	UYSO
1783	PRNA	UNRO	UYPA	UYSO
1784	PRNA	UNRO	UYPA	UYSO
1785	PRNA	UNRO	UYPA	UYSO
1786	PRNA	UNRO	UYPA	UYSO
1787	PRNA	UNRO	UYPA	UYSO
1788	PRNA	UNRO	UYPA	UYSO
1789	PRNA	UNRO	UYPA	UYSO
1790	PRNA	UNRO	UYPA	UYSO
1791	PRNA	UNRO	UYPA	UYSO
1792	PRNA	UNRO	UYPA	UYSO
1793	PRNA	UNRO	UYPA	UYSO
1794	PRNA	UNRO	UYPA	UYSO
1795	PRNA	UNRO	UYPA	UYSO
1796	PRNA	UNRO	UYPA	UYSO
1797	PRNA	UNRO	UYPA	UYSO
1798	PRNA	UNRO	UYPA	UYSO
1799	PRNA	UNRO	UYPA	UYSO
1800	PRNA	UNRO	UYPA	UYSO
1801	PRNA	UNRO	UYPA	UYSO
1802	PRNA	UNRO	UYPA	UYSO
1803	PRNA	UNRO	UYPA	UYSO
1804	PRNA	UNRO	UYPA	UYSO
1805	PRNA	UNRO	UYPA	UYSO
1806	PRNA	UNRO	UYPA	UYSO
1807	PRNA	UNRO	UYPA	UYSO
1808	PRNA	UNRO	UYPA	UYSO
1809	PRNA	UNRO	UYPA	UYSO
1810	PRNA	UNRO	GUAY	UYPA
1811	PRNA	UNRO	GUAY	UYPA
1812	PRNA	UNRO	GUAY	UYPA
1813	PRNA	UNRO	GUAY	UYPA
1814	PRNA	UNRO	GUAY	UYSO
1815	PRNA	UNRO	GUAY	UYPA
1816	PRNA	UNRO	GUAY	UYPA
1817	PRNA	UNRO	GUAY	UYPA
1818	PRNA	UNRO	GUAY	UYPA
1819	PRNA	UNRO	GUAY	UYPA
1820	PRNA	UNRO	GUAY	UYPA
1821	PRNA	UNRO	UYPA	UYSO
1822	PRNA	UNRO	UYPA	UYSO
1823	PRNA	UNRO	UYPA	UYSO
1824	PRNA	UNRO	UYPA	UYSO
1825	PRNA	UNRO	UYPA	UYSO
1826	PRNA	UNRO	UYPA	UCOR
1827	PRNA	UNRO	UYPA	UCOR
1828	PRNA	UNRO	UYPA	UCOR
1830	PRNA	UNRO	GUAY	UYPA
1831	PRNA	UNRO	GUAY	UYPA
1832	PRNA	UNRO	GUAY	UYPA
1833	PRNA	UNRO	GUAY	UYPA
1834	PRNA	UNRO	GUAY	UYPA
1835	PRNA	UNRO	GUAY	UYPA
1836	PRNA	UNRO	GUAY	UYPA
1837	PRNA	UNRO	GUAY	UYPA
1838	PRNA	UNRO	GUAY	UYPA
1839	PRNA	UNRO	GUAY	UYPA
1840	PRNA	UNRO	GUAY	UYPA
1841	PRNA	UNRO	GUAY	UYPA
1842	PRNA	UNRO	GUAY	UYPA
1843	PRNA	UNRO	UYPA	UYSO
1844	PRNA	UNRO	UYPA	UYSO
1845	PRNA	UNRO	UYPA	UYSO
1846	PRNA	UNRO	UYPA	UYSO
1847	PRNA	UNRO	UYPA	UYSO
1848	PRNA	UNRO	UYPA	UYSO
1849	PRNA	UNRO	UYPA	UYSO
1850	PRNA	UNRO	UYPA	UYSO
1851	PRNA	UNRO	UYPA	UYSO
1852	PRNA	UNRO	UYPA	UYSO
1853	PRNA	UNRO	UYPA	UYSO
1854	PRNA	UNRO	UYPA	UYSO
1855	PRNA	UNRO	UYPA	UYSO
1856	PRNA	UNRO	UYPA	UYSO
1858	PRNA	UNRO	UYPA	UYSO
1859	PRNA	UNRO	UYPA	UYSO
1860	PRNA	UNRO	UYPA	UYSO
1861	PRNA	UNRO	UYPA	UYSO
1862	PRNA	UNRO	UYPA	UYSO
1863	PRNA	UNRO	UYPA	UYSO
1864	PRNA	UNRO	UYPA	UYSO
1865	PRNA	UNRO	UYPA	UYSO
1866	PRNA	UNRO	UYPA	UYSO
1867	PRNA	UNRO	UYPA	UYSO
1868	PRNA	UNRO	GUAY	UYPA
1869	PRNA	UNRO	GUAY	UYPA
1870	PRNA	UNRO	GUAY	UYPA
1871	PRNA	UNRO	GUAY	UYPA
1872	PRNA	UNRO	GUAY	UYPA
1873	PRNA	UNRO	GUAY	UYPA
1874	PRNA	UNRO	GUAY	UYPA
1875	PRNA	UNRO	GUAY	UYPA
1876	PRNA	UNRO	GUAY	UYPA
1877	PRNA	UNRO	GUAY	UYSA
1878	PRNA	UNRO	GUAY	UYPA
1880	PRNA	UNRO	GUAY	UYPA
1882	PRNA	UNRO	GUAY	UYPA
1886	PRNA	UNRO	GUAY	UYPA
1887	PRNA	UNRO	GUAY	UYPA
1890	PRNA	UNRO	GUAY	UYPA
1891	PRNA	UNRO	GUAY	UYPA
1892	PRNA	UNRO	GUAY	UYPA
1893	PRNA	UNRO	GUAY	UYPA
1894	PRNA	UNRO	GUAY	UYPA
1895	PRNA	UNRO	GUAY	UYPA
1904	PRNA	UNRO	GUAY	UYPA
1905	PRNA	UNRO	GUAY	UYPA
1906	PRNA	UNRO	GUAY	UYPA
1907	PRNA	UNRO	GUAY	UYPA
1908	PRNA	UNRO	GUAY	UYPA
1909	PRNA	UNRO	GUAY	UYPA
1910	PRNA	UNRO	GUAY	UYPA
1911	PRNA	UNRO	GUAY	UYPA
1912	PRNA	UNRO	GUAY	UYPA
1913	PRNA	UNRO	GUAY	UYPA
1914	PRNA	UNRO	GUAY	UYPA
1915	PRNA	UNRO	GUAY	UYPA
1916	PRNA	UNRO	GUAY	UYPA
1917	PRNA	UNRO	GUAY	UYPA
1918	PRNA	UNRO	GUAY	UYPA
1919	PRNA	UNRO	GUAY	UYPA
1920	PRNA	UNRO	GUAY	UYPA
1921	PRNA	UNRO	GUAY	UYPA
1922	PRNA	UNRO	GUAY	UYPA
1926	PRNA	UNRO	GUAY	UYPA
1927	PRNA	UNRO	GUAY	UYPA
1928	PRNA	UNRO	GUAY	UYPA
1929	PRNA	UNRO	GUAY	UYPA
1930	PRNA	UNRO	GUAY	UYPA
1931	PRNA	UNRO	UYPA	UYSA
1932	PRNA	UNRO	UYPA	UYSA
1933	PRNA	UNRO	UYPA	UYSA
1934	PRNA	UNRO	GUAY	UYPA
1935	PRNA	UNRO	GUAY	UYPA
1936	PRNA	UNRO	GUAY	UYPA
1937	PRNA	UNRO	GUAY	UYPA
1938	PRNA	UNRO	GUAY	UYPA
1939	PRNA	UNRO	UYPA	UYSA
1940	PRNA	UNRO	GUAY	UYPA
1946	PRNA	UNRO	GUAY	UYPA
1947	PRNA	UNRO	GUAY	UYPA
1948	PRNA	UNRO	GUAY	UYPA
1964	PRNA	UNRO	GUAY	UYPA
1965	PRNA	UNRO	GUAY	UYPA
1966	PRNA	UNRO	GUAY	UYPA
1967	PRNA	UNRO	GUAY	UYPA
1968	PRNA	UNRO	GUAY	UYPA
1969	PRNA	UNRO	GUAY	UYPA
1970	PRNA	UNRO	GUAY	UYPA
1971	PRNA	UNRO	GUAY	UYPA
1972	PRNA	UNRO	GUAY	UYPA
1852	RECO	CHAC	PRNA	UYPA
1853	RECO	CHAC	PRNA	UYPA
1854	RECO	CHAC	PRNA	UYPA
1855	RECO	CHAC	PRNA	UYPA
1856	RECO	CHAC	PRNA	UYPA
1858	RECO	CHAC	PRNA	UYPA
1859	RECO	CHAC	PRNA	UYPA
1860	RECO	CHAC	PRNA	UYPA
1861	RECO	CHAC	PRNA	UYPA
1862	RECO	CHAC	PRNA	UYPA
1863	RECO	CHAC	PRNA	UYPA
1864	RECO	CHAC	PRNA	UYPA
1865	RECO	CHAC	PRNA	UYPA
1866	RECO	CHAC	PRNA	UYPA
1867	RECO	CHAC	PRNA	UYPA
1868	RECO	CHAC	PRNA	GUAY
1869	RECO	CHAC	PRNA	GUAY
1870	RECO	CHAC	UYTD	UYSA
1871	RECO	CHAC	UYTD	UYSA
1872	RECO	CHAC	UYTD	UYSA
1873	RECO	CHAC	UYTD	UYSA
1874	RECO	UYTD	UYSA	PRNA
1875	RECO	UYTD	UYSA	PRNA
1876	RECO	UYTD	UYSA	PRNA
1877	RECO	CHAC	UYTD	UYSA
1878	RECO	CHAC	UYTD	UYSA
1880	RECO	MECO	CHAC	UYTD
1882	RECO	MECO	CHAC	UYTD
1883	RECO	MECO	UYTD	UYSA
1884	RECO	MECO	UYTD	UYSA
1885	RECO	MECO	UYTD	UYSA
1886	RECO	UYTD	UYSA	PRNA
1887	RECO	UYTD	UYSA	PRNA
1888	RECO	MECO	CHAC	UYTD
1890	RECO	MECO	CHAC	UYTD
1891	RECO	MECO	CHAC	UYTD
1892	RECO	MECO	CHAC	UYTD
1893	RECO	MECO	CHAC	UYTD
1894	RECO	MECO	CHAC	UYTD
1895	RECO	CHAC	UYTD	UYSA
1896	RECO	MECO	UYTD	UYSA
1897	RECO	MECO	UYTD	UYSA
1898	RECO	MECO	UYTD	UYSA
1899	RECO	MECO	UYTD	UYSA
1900	RECO	MECO	UYTD	UYSA
1901	RECO	MECO	UYTD	UYSA
1902	RECO	MECO	UYTD	UYSA
1903	RECO	MECO	CHAC	UYTD
1904	RECO	CHAC	UYTD	UYSA
1905	RECO	MECO	CHAC	UYTD
1906	RECO	CHAC	UYTD	UYSA
1907	RECO	MECO	CHAC	UYTD
1908	RECO	MECO	CHAC	UYTD
1909	RECO	MECO	CHAC	UYTD
1910	RECO	MECO	CHAC	UYTD
1911	RECO	MECO	CHAC	UYTD
1912	RECO	MECO	CHAC	UYTD
1913	RECO	MECO	CHAC	UYTD
1914	RECO	CHAC	UYTD	UYSA
1915	RECO	CHAC	UYTD	UYSA
1916	RECO	CHAC	UYTD	UYSA
1917	RECO	CHAC	UYTD	UYSA
1918	RECO	CHAC	UYTD	UYSA
1919	RECO	CHAC	UYTD	UYSA
1920	RECO	CHAC	UYTD	UYSA
1921	RECO	CHAC	UYTD	UYSA
1922	RECO	CHAC	UYTD	UYSA
1923	RECO	CHAC	UYTD	UYSA
1924	RECO	CHAC	UYTD	UYSA
1925	RECO	CHAC	UYTD	UYSA
1926	RECO	CHAC	UYTD	UYSA
1927	RECO	CHAC	UYTD	UYSA
1928	RECO	CHAC	UYTD	UYSA
1929	RECO	CHAC	UYTD	UYSA
1930	RECO	CHAC	UYTD	UYSA
1931	RECO	CHAC	UYTD	UYSA
1932	RECO	CHAC	UYTD	UYSA
1933	RECO	CHAC	UYTD	UYSA
1934	RECO	CHAC	UYTD	UYSA
1935	RECO	CHAC	UYTD	UYSA
1936	RECO	CHAC	UYTD	UYSA
1937	RECO	CHAC	UYTD	UYSA
1938	RECO	CHAC	UYTD	UYSA
1939	RECO	CHAC	UYTD	UYSA
1940	RECO	CHAC	UYTD	UYSA
1941	RECO	CHAC	UYTD	UYSA
1942	RECO	CHAC	UYTD	UYSA
1943	RECO	CHAC	UYTD	UYSA
1944	RECO	CHAC	UYTD	UYSA
1945	RECO	CHAC	UYTD	UYSA
1946	RECO	CHAC	UYTD	UYSA
1947	RECO	CHAC	UYTD	UYSA
1948	RECO	CHAC	UYTD	UYSA
1949	RECO	CHAC	UYTD	UYSA
1950	RECO	CHAC	UYTD	UYSA
1951	RECO	CHAC	UYTD	UYSA
1952	RECO	CHAC	UYTD	UYSA
1953	RECO	CHAC	UYTD	UYSA
1954	RECO	CHAC	UYTD	UYSA
1955	RECO	CHAC	UYTD	UYSA
1956	RECO	CHAC	UYTD	UYSA
1957	RECO	CHAC	UYTD	UYSA
1958	RECO	CHAC	UYTD	UYSA
1959	RECO	CHAC	UYTD	UYSA
1960	RECO	CHAC	UYTD	UYSA
1961	RECO	CHAC	UYTD	UYSA
1962	RECO	CHAC	UYTD	UYSA
1963	RECO	CHAC	UYTD	UYSA
1964	RECO	CHAC	UYTD	UYSA
1965	RECO	CHAC	UYTD	UYSA
1966	RECO	CHAC	UYTD	UYSA
1967	RECO	CHAC	UYTD	UYSA
1968	RECO	CHAC	UYTD	UYSA
1969	RECO	CHAC	UYTD	UYSA
1970	RECO	CHAC	UYTD	UYSA
1971	RECO	CHAC	UYTD	UYSA
1972	RECO	CHAC	UYTD	UYSA
1640	RIO2	AUTF	COYQ	RWSN
1641	RIO2	AUTF	COYQ	RWSN
1642	RIO2	AUTF	COYQ	RWSN
1643	RIO2	AUTF	COYQ	RWSN
1644	RIO2	AUTF	COYQ	ESQU
1645	RIO2	AUTF	COYQ	RWSN
1646	RIO2	AUTF	COYQ	RWSN
1647	RIO2	AUTF	RWSN	ESQU
1648	RIO2	AUTF	ESQU	MA01
1649	RIO2	AUTF	ESQU	MA01
1650	RIO2	AUTF	ESQU	MA01
1651	RIO2	AUTF	ESQU	MA01
1652	RIO2	AUTF	ESQU	MA01
1653	RIO2	AUTF	ESQU	MA01
1654	RIO2	AUTF	ESQU	MA01
1655	RIO2	AUTF	COYQ	ESQU
1656	RIO2	AUTF	COYQ	RWSN
1657	RIO2	AUTF	COYQ	RWSN
1658	RIO2	AUTF	COYQ	RWSN
1659	RIO2	AUTF	COYQ	RWSN
1660	RIO2	AUTF	COYQ	RWSN
1661	RIO2	AUTF	COYQ	RWSN
1662	RIO2	AUTF	COYQ	RWSN
1663	RIO2	AUTF	RWSN	ESQU
1664	RIO2	AUTF	RWSN	ESQU
1665	RIO2	AUTF	RWSN	ESQU
